date,close,open,high,low,volume,change_pct,return_1d,return_2d,return_5d,ma_5,ma_10,ma_ratio,volatility_5,direction
2015-01-14,8277.55,8307.25,8326.45,8236.65,150620000.0,-0.26,-0.0026327204376220825,-0.0054607713564821525,0.02165487959911605,8283.81,8270.635,1.0015929853028214,0.007865870429152226,1
2015-01-15,8494.15,8424.5,8527.1,8380.55,232140000.0,2.62,0.026167162989048753,0.023465551726630896,0.031519442352998306,8335.72,8291.65,1.0053149855577599,0.011840005081375417,1
2015-01-16,8513.8,8504.05,8530.75,8452.25,181370000.0,0.23,0.002313356839707348,0.028541053814232553,0.027678194218118124,8381.579999999998,8303.485,1.0094050871411218,0.011975291362423281,1
2015-01-19,8550.7,8550.05,8570.95,8531.5,129350000.0,0.43,0.004334139867039566,0.006657523118852593,0.027357923825543695,8427.119999999999,8320.715,1.0127879635343837,0.011981890530074629,1
2015-01-20,8695.6,8575.1,8707.9,8574.5,158710000.0,1.69,0.01694598103079281,0.021353567149803965,0.04773839072704056,8506.359999999999,8377.54,1.0153768289975336,0.011818905649386011,1
2015-01-21,8729.5,8719.65,8741.85,8689.6,191650000.0,0.39,0.003898523391140385,0.02091056872536745,0.05459948897922695,8596.75,8440.28,1.0185384845052532,0.010432645710879289,1
2015-01-22,8761.4,8745.85,8774.15,8727.0,180910000.0,0.37,0.003654275731714174,0.0075670454022722655,0.03146283030085417,8650.2,8492.960000000001,1.0185141576081838,0.0060381446788866765,1
2015-01-23,8835.6,8827.95,8866.4,8795.4,197120000.0,0.85,0.008468966146962797,0.012154189816140804,0.037797458244262394,8714.56,8548.070000000002,1.0194769111624025,0.005655539375321726,1
2015-01-27,8910.5,8871.35,8925.05,8825.45,192010000.0,0.85,0.008477070034858869,0.01701782820097253,0.042078426327669005,8786.52,8606.820000000002,1.0208787914700201,0.0053797777047199105,1
2015-01-28,8914.3,8902.75,8985.05,8874.05,190810000.0,0.04,0.00042646316143857277,0.008907148354384331,0.025150650903905225,8830.26,8668.31,1.0186829958780894,0.0034664134863014906,1
2015-01-29,8952.35,8901.5,8966.65,8861.25,264250000.0,0.43,0.004268422646758641,0.004696706133213713,0.02552838077782238,8874.83,8735.789999999999,1.0159161335151143,0.0034412836362617606,0
2015-01-30,8808.9,8996.6,8996.6,8775.1,275590000.0,-1.6,-0.01602372561394505,-0.011823699000482302,0.005421507978176976,8884.33,8767.265,1.013352510731682,0.010154243081333707,0
2015-02-02,8797.4,8802.5,8840.8,8751.1,216560000.0,-0.13,-0.0013054978487665458,-0.01730830452339338,-0.004323418896283293,8876.689999999999,8795.625,1.0092165138918494,0.009290715142915186,0
2015-02-03,8756.55,8823.15,8837.3,8726.65,208670000.0,-0.46,-0.004643417373314862,-0.005942853250689661,-0.01727736939565694,8845.9,8816.210000000001,1.0033676602531019,0.007725324767380752,0
2015-02-04,8723.7,8789.15,8792.85,8704.4,201250000.0,-0.38,-0.003751477465440023,-0.008377475163116266,-0.021381375991384455,8807.779999999999,8819.02,0.9987254819696518,0.0074203954063532225,0
2015-02-05,8711.7,8733.1,8838.45,8683.65,179010000.0,-0.14,-0.001375563121152723,-0.00512188019254145,-0.026881209961630126,8759.65,8817.24,0.9934684776642123,0.006105584380700686,0
2015-02-06,8661.05,8696.85,8726.2,8645.55,176550000.0,-0.58,-0.005814020225673677,-0.007181585795018375,-0.016784161473055725,8730.079999999998,8807.205,0.991242965276725,0.001998748339979939,0
2015-02-09,8526.35,8584.4,8605.55,8516.35,151330000.0,-1.56,-0.015552386835314347,-0.021275985169370015,-0.030810239388910254,8675.87,8776.279999999999,0.9885589338535236,0.005461359189127952,1
2015-02-10,8565.55,8478.1,8646.25,8470.5,202300000.0,0.46,0.004597512417388261,-0.011026376709521335,-0.02181224340636434,8637.67,8741.785,0.9880899610319861,0.0073636955572739405,1
2015-02-11,8627.4,8603.3,8651.95,8593.65,166560000.0,0.72,0.007220785588782919,0.011851495657579036,-0.01103889404725067,8618.41,8713.095000000001,0.9891330233401563,0.009041339551549888,1
2015-02-12,8711.55,8676.95,8732.55,8599.25,163680000.0,0.98,0.009753807636136091,0.017045023378533752,-1.7218223768211693e-05,8618.38,8689.015,0.9918707701620955,0.01053665902253285,1
2015-02-13,8805.5,8741.5,8822.1,8729.65,228810000.0,1.08,0.010784533177218725,0.020643531075410948,0.016678116394663656,8647.269999999999,8688.675,0.9952346013632688,0.010841124751680238,1
2015-02-16,8809.35,8831.4,8870.1,8793.4,140640000.0,0.04,0.0004372267332917179,0.011226475196721708,0.03319122485002368,8703.869999999999,8689.869999999999,1.001611071281849,0.004178020698774145,1
2015-02-18,8869.1,8811.55,8894.3,8808.9,152150000.0,0.68,0.006782566250631339,0.007222758503208304,0.03543847155173929,8764.58,8701.125,1.0072927351348244,0.004033363225945988,1
2015-02-19,8895.3,8883.05,8913.45,8794.45,219870000.0,0.3,0.002954076512836634,0.009756678983125822,0.03105222894498927,8818.16,8718.285,1.011455808109049,0.004407830731520292,0
2015-02-20,8833.6,8895.5,8899.95,8816.3,203720000.0,-0.69,-0.006936247231684067,-0.004002660923881796,0.014010135968914872,8842.57,8730.475,1.0128395075869296,0.006708473244043775,0
2015-02-23,8754.95,8856.85,8869.0,8736.1,143930000.0,-0.89,-0.008903504799855022,-0.01577799512101885,-0.005740730225427204,8832.460000000001,8739.865,1.0105945572385844,0.0066310711541331,1
2015-02-24,8762.1,8772.9,8800.5,8726.75,154370000.0,0.08,0.0008166808491196775,-0.008094095272595525,-0.005363619336273384,8823.01,8763.44,1.0067975589494536,0.006655662981468533,1
2015-02-25,8767.25,8801.9,8840.65,8751.4,139410000.0,0.06,0.0005877586423346237,0.00140491950268129,-0.011483690566122862,8802.64,8783.61,1.0021665351717572,0.00526210896675614,0
2015-02-26,8683.85,8779.0,8786.05,8669.45,224180000.0,-0.95,-0.009512675012118943,-0.00893050752673441,-0.023770980180544687,8760.35,8789.255000000001,0.996711325362616,0.005103580006650622,1
2015-02-27,8844.6,8729.5,8856.95,8717.45,257230000.00000003,1.85,0.018511374563125793,0.008822606860760196,0.001245245426553243,8762.55,8802.560000000001,0.9954547313508795,0.011324718750174472,1
2015-02-28,8901.85,8913.05,8941.1,8751.35,246450000.0,0.65,0.006472876105194203,0.025104072502403874,0.01677907926373079,8791.93,8812.195000000002,0.9977003459410508,0.010236119254311012,1
2015-03-02,8956.75,8953.85,8972.35,8885.45,224770000.0,0.62,0.006167257367850398,0.012680053365895505,0.022214994122413456,8830.86,8826.935000000001,1.0004446617087357,0.010181310664863078,1
2015-03-03,8996.25,8962.85,9008.4,8925.55,183250000.0,0.44,0.004410081781896391,0.010604537259109037,0.02611993498531473,8876.66,8839.65,1.0041868173513657,0.00996035631173078,0
2015-03-04,8922.65,9109.15,9119.2,8893.95,256060000.0,-0.82,-0.008181186605530133,-0.0038071845256371084,0.027499323456761537,8924.42,8842.385,1.0092774743465704,0.009474274593763665,1
2015-03-05,8937.75,8929.4,8957.55,8849.35,165080000.0,0.17,0.0016923223481812855,-0.006502709462275935,0.01053184994233769,8943.05,8852.8,1.010194514729803,0.006059483312612249,0
2015-03-09,8756.75,8891.15,8891.3,8740.45,160330000.0,-2.03,-0.02025118178512486,-0.018593130964455584,-0.016299982587889117,8914.03,8852.98,1.0068959830475164,0.011012985503975658,0
2015-03-10,8712.05,8769.75,8778.0,8677.35,168920000.0,-0.51,-0.005104633568390193,-0.025252440491175143,-0.0273201775197478,8865.09,8847.975,1.0019343409085129,0.009680919461522568,0
2015-03-11,8699.95,8728.75,8755.6,8682.35,178050000.0,-0.14,-0.0013888809178090877,-0.0064864247580437295,-0.03293594553286083,8805.83,8841.244999999999,0.9959943424257558,0.00847051500629727,1
